date,time,home_team,away_team,venue,city,competition,status,source
2025-08-10,1:00 PM EDT,Chicago Bears,Miami Dolphins,Soldier Field,Chicago,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-16,1:00 PM EDT,Detroit Lions,Miami Dolphins,Ford Field,Detroit,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-08-23,7:00 PM EDT,Miami Dolphins,Jacksonville Jaguars,Hard Rock Stadium,Opa Locka,NFL 2025 Preseason,SCHEDULED,https://yourSportsCalendar.com
2025-09-07,1:00 PM EDT,Indianapolis Colts,Miami Dolphins,Lucas Oil Stadium,Indianapolis,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-14,1:00 PM EDT,Miami Dolphins,New England Patriots,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-18,8:15 PM EDT,Buffalo Bills,Miami Dolphins,Highmark Stadium,Orchard Park,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-09-29,7:15 PM EDT,Miami Dolphins,New York Jets,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-05,1:00 PM EDT,Carolina Panthers,Miami Dolphins,Bank of America Stadium,Charlotte,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-12,1:00 PM EDT,Miami Dolphins,Los Angeles Chargers,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-19,1:00 PM EDT,Cleveland Browns,Miami Dolphins,Huntington Bank Field,Cleveland,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-26,1:00 PM EDT,Atlanta Falcons,Miami Dolphins,Mercedes-Benz Stadium,Atlanta,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-10-30,8:15 PM EDT,Miami Dolphins,Baltimore Ravens,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-09,1:00 PM EST,Miami Dolphins,Buffalo Bills,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-16,9:30 AM EST,Miami Dolphins,Washington Commanders,Santiago Bernabeu Stadium,Madrid,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-11-30,1:00 PM EST,Miami Dolphins,New Orleans Saints,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-07,1:00 PM EST,New York Jets,Miami Dolphins,MetLife Stadium,East Rutherford,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-15,8:15 PM EST,Pittsburgh Steelers,Miami Dolphins,Acrisure Stadium,Pittsburgh,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-21,8:20 PM EST,Miami Dolphins,Cincinnati Bengals,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
2025-12-28,1:00 PM EST,Miami Dolphins,Tampa Bay Buccaneers,Hard Rock Stadium,Opa Locka,NFL 2025 Regular Season,SCHEDULED,https://yourSportsCalendar.com
